"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-10-15T07:00:00.000Z","57.66","59.51","56.66","58.62","1.63","1.27","6,506,304"
"2024-10-16T07:00:00.000Z","59.37","59.77","58.73","59.24","1.06","0.6985","3,507,828"
"2024-10-17T07:00:00.000Z","58.62","59.19","58.26","58.41","-1.40","-1.76","2,691,732"
"2024-10-18T07:00:00.000Z","59.33","60.42","59.23","60.03","2.77","2.41","3,825,548"
"2024-10-21T07:00:00.000Z","59.39","59.39","58.39","59.23","-1.32","-1.68","4,602,891"
"2024-10-22T07:00:00.000Z","58.67","59.19","58.21","58.98","-0.4305","-0.7896","2,820,870"
"2024-10-23T07:00:00.000Z","58.12","58.46","56.96","58.07","-1.54","-1.90","3,534,508"
"2024-10-24T07:00:00.000Z","59.08","59.72","58.82","59.72","2.84","2.48","2,604,283"
"2024-10-25T07:00:00.000Z","59.47","60.16","57.59","58.39","-2.23","-2.59","5,130,763"
"2024-10-28T07:00:00.000Z","60.28","61.15","59.82","60.93","4.35","3.99","5,167,845"
"2024-10-29T07:00:00.000Z","62.29","64.43","62.01","63.45","4.14","3.78","8,720,432"
"2024-10-30T07:00:00.000Z","62.79","63.39","62.41","62.79","-1.04","-1.40","4,723,701"
"2024-10-31T07:00:00.000Z","62.89","62.95","61.01","61.07","-2.74","-3.10","7,283,989"
"2024-11-01T07:00:00.000Z","61.30","62.62","60.05","60.47","-0.9825","-1.34","8,091,829"
"2024-11-04T08:00:00.000Z","59.94","60.08","58.64","58.77","-2.81","-3.17","5,345,859"
"2024-11-05T08:00:00.000Z","60.56","61.60","60.06","60.66","3.22","2.86","6,282,672"
"2024-11-06T08:00:00.000Z","64.98","66.98","64.29","66.70","9.96","9.60","12,508,608"
"2024-11-07T08:00:00.000Z","65.57","67.31","65.21","66.98","0.4198","0.0607","6,837,101"
"2024-11-08T08:00:00.000Z","66.74","67.67","66.23","67.18","0.2986","-0.0605","5,373,111"
"2024-11-11T08:00:00.000Z","71.64","76.59","71.43","76.14","13.34","12.99","13,915,541"
"2024-11-12T08:00:00.000Z","75.31","78.70","74.53","78.38","2.94","2.58","8,921,542"
"2024-11-13T08:00:00.000Z","78.67","81.79","78.11","78.48","0.1276","-0.2315","14,625,188"
"2024-11-14T08:00:00.000Z","79.88","80.31","76.34","76.40","-2.65","-3.01","7,677,514"
